Date,City,MilesFromPrev,DriveHours,Notes
June 6,"Fort Stockton, TX",,,Start: Alignment issue overnight stop
June 7–9,"El Paso, TX",240.0,4.0,Tesla service
June 9,"Sedona, AZ",320.0,5.5,Scenic overnight
June 10,"Grand Canyon, AZ",115.0,2.5,Full day exploration
June 11,"Zion NP, UT",120.0,2.5,Day hike
June 11,"Las Vegas, NV",160.0,3.0,Pass-through
June 12,"Los Angeles, CA",270.0,4.5,Visit Laurent
June 13,"Santa Maria, CA",160.0,3.0,Coastal drive
June 14,"San Francisco, CA",260.0,4.5,Urban visit
June 15–16,"Colfax, CA",140.0,2.5,Visit Stefan
June 17–18,"Redwood NP, CA",300.0,5.5,Camping & hike
June 19,"Cannon Beach, OR",290.0,5.5,Scenic overnight
June 20,"Olympia, WA",120.0,2.5,Visit Brian
June 21,"Seattle, WA",60.0,1.5,Visit Troy
June 22,"Bozeman, MT",590.0,10.0,1-night stay
June 23,"Yellowstone NP, WY",90.0,2.0,1-day park visit
June 24,"Salt Lake City, UT",320.0,5.5,Visit Brady
June 25–26,"Provo, UT",45.0,1.0,Visit Erin Lane
June 27,"Fort Collins, CO",440.0,7.0,Visit Caleb
June 28,"Denver, CO",60.0,1.5,Visit Josh
June 29,"Bismarck, ND",550.0,9.0,ND stop w/ charging
June 30,"Badlands, SD",280.0,4.5,Drive-through park
July 1–4,"Lincoln, NE",370.0,6.5,Visit family
July 5,"Des Moines, IA",190.0,3.5,Through route
July 6,"Chicago, IL",330.0,5.5,Lunch w/ Connor
July 7,"Terre Haute, IN",190.0,3.5,Visit Jack
July 8,"Columbus, OH",220.0,4.0,Visit Cameron
July 9,"Detroit, MI",200.0,3.5,MI state stop
July 10,"Milwaukee, WI",330.0,6.0,WI state stop
July 11,"Minneapolis, MN",340.0,6.0,MN state stop
July 12,"Burlington, VT",1100.0,17.0,Start NE sweep
July 13,"Concord, NH",90.0,2.0,NH stop
July 14,"Portland, ME",60.0,1.5,ME stop
July 15,"Boston, MA",110.0,2.0,MA stop
July 16,"Providence, RI",50.0,1.0,RI stop
July 17,"Hartford, CT",50.0,1.0,Visit Deanna
July 18–19,"Hartford, CT",,,Extended stay
July 20,"Albany, NY",90.0,1.5,Visit Phil Dalton
July 21,"Newark, NJ",145.0,2.5,NJ stop
July 22,"Philadelphia, PA",90.0,2.0,PA stop
July 23,"Wilmington, DE",30.0,1.0,DE stop
July 24,"Baltimore, MD",70.0,1.5,MD stop
July 25,"Raleigh, NC",270.0,5.0,Visit Brad
July 26,"Monroe, NC",160.0,2.5,Visit Nana & Pawpaw
July 27,"Asheville, NC",120.0,2.0,Scenic AT hike
July 28,"Spartanburg, SC",70.0,1.5,Visit Max Mosley
July 29,"Knoxville, TN",120.0,2.0,Visit Barton
July 29–30,"Sarasota, FL",,,Visit John & Sarah
July 31,"Jackson, MS",640.0,10.5,MS state visit
August 1,"Baton Rouge, LA",160.0,3.0,LA state visit
August 2,"Topeka, KS",850.0,13.5,KS stop
August 3–6,"Lincoln, NE",180.0,3.0,Visit Parents + Hayden (4 days)
August 7,"Tulsa, OK",470.0,7.0,OK stop
August 8,"St. Louis, MO",400.0,6.0,MO stop
August 9,"Austin, TX",740.0,11.5,Trip ends here
